Khmer,Math,Biology,History,Chemistry,Physics,English,Interest,Major
C,B,D,D,C,A,A,I am interested in Medicine,Medicine
A,B,A,A,B,B,C,"Good at Chemistry, want to be a Neurologist",Medicine
D,A,B,B,B,A,C,Focusing on Communication and Biology,Medicine
C,C,C,C,E,A,C,I love medical school,Medicine
D,D,A,B,A,B,C,I want to apply my Biology skills in the field of Medicine,Medicine
B,B,E,E,C,A,B,"biology, healthcare provider",Medicine
C,C,A,B,E,A,C,medical hospital helping people,Medicine
B,D,B,B,B,A,C,I love neurology,Medicine
C,C,B,C,C,B,F,"treatment, surgery",Medicine
B,E,C,B,B,C,B,I am interested in Medicine,Medicine
B,C,B,D,D,B,E,I am looking for a career in Surgeon,Medicine
C,B,C,C,D,A,A,I'm passionate about physician,Medicine
C,B,C,B,D,A,D,My goal is to become a Doctor,Medicine
B,B,D,D,B,B,D,I want to apply my Critical Thinking skills in the field of Medicine,Medicine
D,A,A,B,B,A,A,My goal is to become a Emergency Medicine Physician,Medicine
C,B,A,C,A,A,A,I am interested in Medicine,Medicine
D,E,B,A,A,A,D,"medicine, helping people",Medicine
B,C,B,A,C,C,E,Researching Medicine opportunities,Medicine
C,C,E,C,B,B,F,I am looking for a career in Surgeon,Medicine
C,B,B,B,D,B,B,"pharmacology, medical",Medicine
B,B,C,B,B,A,C,Medicine seems like a good fit for me,Medicine
B,A,A,A,A,A,B,I want to study Medicine,Medicine
C,B,A,C,B,A,A,healing medical medical school,Medicine
D,A,D,A,B,A,B,"biology, pharmacology",Medicine
C,D,A,B,C,A,B,I am interested in Medicine,Medicine
B,B,E,C,C,B,D,Study Medicine,Medicine
A,D,A,C,B,A,B,Interested in Medicine and healthcare,Medicine
B,C,A,B,C,A,B,"Good at Communication, want to be a Medical Researcher",Medicine
C,C,E,C,C,A,F,clinical helping people saving lives,Medicine
B,C,A,B,C,A,B,I want to work with neurology,Medicine
B,B,B,C,A,A,C,My goal is to become a Emergency Medicine Physician,Medicine
C,C,C,D,D,A,E,Medicine,Medicine
D,B,C,D,B,A,C,"Good at Biology, want to be a Medical Researcher",Medicine
D,B,B,B,B,A,A,My goal is to become a Medical Researcher,Medicine
D,C,E,B,C,B,E,Medicine,Medicine
C,C,C,D,D,A,E,Medicine,Medicine
A,C,B,C,C,A,D,Study Medicine,Medicine
B,C,A,A,C,A,A,How can I study Medicine?,Medicine
B,A,B,B,A,A,E,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
C,B,B,B,D,A,B,My goal is to become a Emergency Medicine Physician,Medicine
C,D,A,D,B,A,F,clinical therapeutic diagnosis,Medicine
A,B,B,C,B,A,A,Researching Medicine opportunities,Medicine
C,A,F,D,C,A,C,How can I study Medicine?,Medicine
B,C,B,C,B,A,C,I am interested in Medicine,Medicine
B,C,A,C,A,A,B,I want to apply my Memorization skills in the field of Medicine,Medicine
C,A,C,F,E,B,D,My goal is to become a Medical Specialist,Medicine
C,D,B,B,C,B,C,My goal is to become a Medical Researcher,Medicine
C,C,D,C,C,A,C,I am interested in Medicine,Medicine
A,B,A,C,A,A,D,My goal is to become a Doctor,Medicine
B,A,A,A,A,A,D,Interested in Medicine and clinic,Medicine
B,A,B,C,B,A,C,I want to study Medicine,Medicine
D,C,A,C,E,A,D,My goal is to become a Medical Researcher,Medicine
C,C,D,D,B,A,D,Pediatrician career path,Medicine
B,C,A,C,B,A,D,Interested in Medicine and patient,Medicine
B,C,A,A,E,A,D,I love chemistry,Medicine
A,A,A,B,A,A,A,Researching Medicine opportunities,Medicine
B,A,A,B,B,A,B,I love physician,Medicine
B,B,A,B,A,A,C,How can I study Medicine?,Medicine
D,C,E,B,C,B,E,I enjoy care and Chemistry,Medicine
B,B,B,B,D,A,E,Medicine seems like a good fit for me,Medicine
D,A,C,B,A,A,A,"Good at Chemistry, want to be a Medical Specialist",Medicine
B,B,A,A,A,A,B,Focusing on Biology and Memorization,Medicine
A,A,C,B,B,B,C,Interested in Medicine and medical technology,Medicine
C,B,A,C,B,A,B,I want to apply my Chemistry skills in the field of Medicine,Medicine
B,D,B,B,B,A,C,I want to work with diagnosis,Medicine
E,C,E,E,B,B,C,Helping with Chemistry in Medicine,Medicine
B,B,A,A,B,A,B,I want to study Medicine,Medicine
B,A,A,B,B,A,C,I want to apply my Memorization skills in the field of Medicine,Medicine
A,C,D,D,C,B,D,I want to improve my skills in Critical Thinking,Medicine
C,C,C,D,C,A,B,I want to study Medicine,Medicine
C,C,B,C,C,B,F,Researching Medicine opportunities,Medicine
B,A,A,C,C,A,F,I am looking for a career in Pharmacist,Medicine
C,C,C,B,D,A,C,Helping with Biology in Medicine,Medicine
B,B,A,A,B,A,B,Is Medicine a good major?,Medicine
B,C,C,D,A,A,D,"Good at Chemistry, want to be a Neurologist",Medicine
B,C,D,C,C,B,B,Helping with Patient Care in Medicine,Medicine
B,A,A,B,A,A,C,How can I study Medicine?,Medicine
A,A,C,C,C,C,E,My goal is to become a Neurologist,Medicine
C,A,B,B,C,A,C,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
A,C,B,E,C,A,C,I want to apply my Patient Care skills in the field of Medicine,Medicine
A,C,B,C,C,A,D,healthcare provider medical research therapeutic,Medicine
A,A,B,C,C,A,A,Medicine,Medicine
B,B,B,C,B,A,A,How can I study Medicine?,Medicine
A,B,B,C,A,A,C,I want to improve my skills in Communication,Medicine
C,D,C,E,B,A,A,Researching Medicine opportunities,Medicine
B,A,D,A,A,A,B,Researching Medicine opportunities,Medicine
B,C,D,B,C,B,A,I want to improve my skills in Biology,Medicine
D,A,A,C,B,A,B,Surgeon career path,Medicine
B,A,A,C,C,A,F,Medicine,Medicine
C,B,A,D,C,A,D,Is Medicine a good major?,Medicine
A,A,B,B,A,A,B,I enjoy anatomy and Memorization,Medicine
B,B,A,B,B,A,D,I want to improve my skills in Chemistry,Medicine
D,B,C,C,C,A,E,Interested in Medicine and medical,Medicine
A,A,A,A,B,A,B,Medicine,Medicine
C,B,C,C,B,A,C,I want to work with doctor,Medicine
B,B,A,C,C,A,B,How can I study Medicine?,Medicine
A,B,C,B,C,A,B,Medicine seems like a good fit for me,Medicine
A,A,D,C,B,A,E,Focusing on Chemistry and Communication,Medicine
A,C,D,D,C,B,D,I'm passionate about healing,Medicine
B,D,B,B,C,B,B,I want to improve my skills in Communication,Medicine
D,B,A,E,D,B,B,I enjoy save lives and Chemistry,Medicine
B,A,A,B,B,A,C,Researching Medicine opportunities,Medicine
B,A,A,B,C,A,B,Researching Medicine opportunities,Medicine
B,D,A,D,A,A,C,I'm passionate about clinic,Medicine
C,C,C,C,D,A,B,I enjoy treatment and Patient Care,Medicine
B,A,D,B,A,A,D,I am interested in Medicine,Medicine
B,C,B,E,E,A,C,I want to work with pharmacology,Medicine
B,A,A,C,A,A,A,I love pediatrics,Medicine
C,C,D,C,C,A,C,Researching Medicine opportunities,Medicine
C,E,C,B,B,A,C,I want to improve my skills in Communication,Medicine
A,E,C,E,C,A,F,My goal is to become a Surgeon,Medicine
C,B,C,C,D,A,A,I want to improve my skills in Chemistry,Medicine
B,A,B,C,C,B,B,Medicine,Medicine
C,D,B,B,A,A,A,Medicine seems like a good fit for me,Medicine
B,A,B,B,A,A,B,Researching Medicine opportunities,Medicine
C,B,A,A,A,A,D,I enjoy medical practice and Communication,Medicine
B,B,B,C,A,A,C,"Good at Critical Thinking, want to be a Cardiologist",Medicine
C,C,E,C,C,A,F,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
D,E,A,E,C,A,A,Is Medicine a good major?,Medicine
C,B,A,C,A,A,A,I want to work with surgery,Medicine
B,A,A,B,A,A,B,Helping with Biology in Medicine,Medicine
C,A,B,A,A,A,B,"Good at Communication, want to be a Emergency Medicine Physician",Medicine
C,B,A,C,A,A,A,I'm passionate about health,Medicine
C,C,A,C,C,A,D,I love physician,Medicine
D,A,A,C,B,A,B,Researching Medicine opportunities,Medicine
B,B,A,C,A,A,A,I am looking for a career in Pediatrician,Medicine
B,A,B,B,A,A,C,Study Medicine,Medicine
B,A,A,B,B,B,B,I love diagnosis,Medicine
B,C,C,D,B,A,F,I'm passionate about biology,Medicine
B,B,F,D,C,B,C,Medicine seems like a good fit for me,Medicine
E,B,F,F,B,C,B,"Good at Patient Care, want to be a Emergency Medicine Physician",Medicine
B,C,B,B,D,A,E,Is Medicine a good major?,Medicine
D,A,C,B,A,A,A,I am looking for a career in Cardiologist,Medicine
D,D,B,C,A,B,B,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
C,B,B,B,B,A,D,surgeon surgery chemistry,Medicine
C,D,A,B,B,A,D,I am interested in Medicine,Medicine
C,B,B,C,A,A,C,I enjoy healing and Chemistry,Medicine
D,C,F,A,C,B,B,Surgeon career path,Medicine
D,C,E,B,C,A,B,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
B,A,B,B,C,A,D,I want to study Medicine,Medicine
C,C,C,D,C,A,D,I'm passionate about medical technology,Medicine
B,A,C,B,B,A,C,I want to study Medicine,Medicine
B,B,A,A,F,A,B,I want to study Medicine,Medicine
B,B,A,A,A,A,B,Medicine,Medicine
C,E,C,B,B,A,C,Medicine,Medicine
A,B,A,B,A,A,C,I want to work with healthcare provider,Medicine
A,A,A,A,A,A,A,Is Medicine a good major?,Medicine
C,B,A,A,D,A,D,Medicine seems like a good fit for me,Medicine
C,C,A,B,C,C,C,I want to study Medicine,Medicine
B,A,B,B,B,A,D,Focusing on Communication and Memorization,Medicine
C,F,B,E,C,B,F,I love medical degree,Medicine
B,A,C,A,A,A,B,I want to apply my Biology skills in the field of Medicine,Medicine
D,D,B,D,C,B,E,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
C,B,C,C,A,A,D,Study Medicine,Medicine
B,A,A,A,A,A,A,Interested in Medicine and saving lives,Medicine
C,B,F,B,B,B,C,I want to study Medicine,Medicine
B,B,B,A,D,A,D,How can I study Medicine?,Medicine
A,B,B,B,B,A,D,hospital medical technology medicine,Medicine
B,E,C,D,B,B,E,Cardiologist career path,Medicine
B,D,B,B,C,B,B,I am looking for a career in Neurologist,Medicine
C,A,B,C,D,B,B,Is Medicine a good major?,Medicine
C,B,A,C,C,A,F,I enjoy therapeutic and Critical Thinking,Medicine
B,C,D,C,C,B,B,I want to study Medicine,Medicine
D,F,C,C,C,C,F,Helping with Communication in Medicine,Medicine
C,B,E,D,C,B,E,I am looking for a career in Emergency Medicine Physician,Medicine
B,B,A,C,A,A,A,I want to apply my Patient Care skills in the field of Medicine,Medicine
B,C,E,C,B,A,D,Medicine,Medicine
C,B,B,C,B,A,B,Doctor career path,Medicine
D,A,B,B,B,A,C,Interested in Medicine and medical,Medicine
B,B,A,A,F,A,B,I want to study Medicine,Medicine
D,B,B,B,A,B,C,Researching Medicine opportunities,Medicine
D,A,B,B,B,A,C,I am interested in Medicine,Medicine
E,B,A,C,B,A,C,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
E,C,E,C,C,B,B,I want to improve my skills in Communication,Medicine
A,A,A,B,A,A,A,Focusing on Chemistry and Memorization,Medicine
B,A,D,B,B,A,A,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
C,B,A,C,E,A,C,Researching Medicine opportunities,Medicine
C,B,E,D,C,B,E,I enjoy medical school and Patient Care,Medicine
B,A,C,A,A,A,B,"Good at Biology, want to be a Pharmacist",Medicine
B,B,C,C,D,A,B,"Good at Chemistry, want to be a Emergency Medicine Physician",Medicine
E,B,A,C,C,A,C,My goal is to become a Medical Researcher,Medicine
C,C,C,C,E,B,F,I want to study Medicine,Medicine
C,C,C,C,D,A,B,biology medical school hospital,Medicine
A,B,A,C,A,A,D,hospital helping people medical research,Medicine
B,A,A,C,C,A,F,I want to work with doctor,Medicine
B,C,B,B,D,A,E,Is Medicine a good major?,Medicine
A,B,B,C,B,A,F,How can I study Medicine?,Medicine
C,D,A,B,C,A,A,Study Medicine,Medicine
A,A,B,A,A,A,C,Helping with Chemistry in Medicine,Medicine
C,B,A,C,C,B,C,I enjoy anatomy and Chemistry,Medicine
C,B,B,B,E,D,C,I want to work with hospital,Medicine
B,C,D,D,C,B,C,Medicine,Medicine
C,A,A,B,B,A,A,I enjoy medical research and Critical Thinking,Medicine
B,B,B,C,A,A,C,I want to study Medicine,Medicine
C,D,B,B,A,A,A,I enjoy anatomy and Communication,Medicine
B,E,C,C,C,A,D,physician therapeutic medical practice,Medicine
B,B,C,A,B,A,B,I want to improve my skills in Memorization,Medicine
C,C,C,D,D,A,E,medical practice biology surgery,Medicine
E,B,A,C,C,A,C,I am interested in Medicine,Medicine
B,D,B,B,B,A,C,Cardiologist career path,Medicine
C,C,F,A,B,A,B,Medicine seems like a good fit for me,Medicine
B,A,B,B,C,A,D,pediatrics health save lives,Medicine
B,A,A,B,A,A,A,Is Medicine a good major?,Medicine
A,A,E,A,B,A,A,Doctor career path,Medicine
D,B,C,C,D,A,F,I enjoy treatment and Memorization,Medicine
C,B,C,A,A,A,B,Researching Medicine opportunities,Medicine
C,B,A,C,B,A,B,My goal is to become a Emergency Medicine Physician,Medicine
B,A,A,D,A,A,A,I am looking for a career in Medical Specialist,Medicine
A,C,B,C,D,B,B,How can I study Medicine?,Medicine
B,B,F,C,A,A,C,I want to apply my Patient Care skills in the field of Medicine,Medicine
B,C,C,E,D,A,E,"Good at Memorization, want to be a Surgeon",Medicine
B,C,A,C,D,C,B,Researching Medicine opportunities,Medicine
C,C,F,B,B,B,C,How can I study Medicine?,Medicine
B,C,B,C,B,A,A,I want to study Medicine,Medicine
C,B,C,C,A,A,D,Interested in Medicine and treatment,Medicine
A,B,B,C,B,A,C,"Good at Chemistry, want to be a Neurologist",Medicine
B,D,A,D,A,A,C,Is Medicine a good major?,Medicine
C,B,B,B,C,A,A,I love biology,Medicine
A,A,A,B,A,A,C,Helping with Critical Thinking in Medicine,Medicine
A,A,A,A,C,A,D,Medicine seems like a good fit for me,Medicine
B,B,A,C,A,B,C,I love helping people,Medicine
E,C,D,F,B,B,B,I'm passionate about healthcare provider,Medicine
A,A,A,C,A,A,A,medical profession medicine medical specialist,Medicine
B,E,C,B,C,A,F,Interested in Medicine and cure,Medicine
C,B,C,B,A,A,B,How can I study Medicine?,Medicine
B,A,A,A,A,A,C,My goal is to become a Neurologist,Medicine
A,B,B,C,A,A,C,Researching Medicine opportunities,Medicine
B,B,A,A,B,A,C,I am looking for a career in Doctor,Medicine
C,A,A,D,A,A,D,I'm passionate about medical technology,Medicine
A,E,C,C,B,B,D,Is Medicine a good major?,Medicine
A,A,B,B,C,B,A,I want to work with saving lives,Medicine
B,D,B,B,C,A,B,I am interested in Medicine,Medicine
C,C,C,E,F,C,C,I am looking for a career in Surgeon,Medicine
C,B,A,C,C,A,F,"biology, patient",Medicine
B,B,A,A,B,A,B,How can I study Medicine?,Medicine
B,C,B,C,A,A,F,Study Medicine,Medicine
B,A,A,D,A,A,A,I want to study Medicine,Medicine
A,B,A,B,A,A,C,"save lives, medicine",Medicine
B,C,A,B,C,A,D,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
C,D,B,B,C,B,C,My goal is to become a Pharmacist,Medicine
B,E,C,B,C,A,F,I want to study Medicine,Medicine
A,B,F,B,C,A,B,"healing, cure",Medicine
C,B,A,B,C,A,D,"Learning more about Study of human health, diseases, and medical treatment...",Medicine
B,C,A,C,B,A,A,I'm passionate about medical school,Medicine
D,C,D,E,C,A,A,Medicine seems like a good fit for me,Medicine
B,A,A,A,A,A,C,hospital medical healing,Medicine
B,B,A,B,B,A,E,Medical Researcher career path,Medicine
B,A,B,B,C,A,D,Researching Medicine opportunities,Medicine
A,A,C,D,C,B,B,Medicine seems like a good fit for me,Medicine
C,B,C,C,A,A,B,Interested in Medicine and medicine,Medicine
B,B,C,C,D,A,B,I love medicine,Medicine
C,A,A,C,B,A,B,cardiology therapeutic health,Medicine
B,B,A,C,B,A,C,Is Medicine a good major?,Medicine
C,C,B,B,B,A,B,Focusing on Memorization and Critical Thinking,Medicine
C,A,A,B,A,A,B,My goal is to become a Medical Researcher,Medicine
B,B,B,B,A,A,B,Medicine,Medicine
B,B,E,B,A,A,C,"Good at Communication, want to be a Pediatrician",Medicine
B,C,B,B,D,A,E,Focusing on Biology and Chemistry,Medicine
B,C,A,C,B,A,D,Researching Medicine opportunities,Medicine
C,D,C,B,C,C,F,Researching Medicine opportunities,Medicine
B,A,A,B,A,A,B,help people medical technology physician,Medicine
B,C,C,C,A,A,D,Cardiologist career path,Medicine
D,C,B,B,A,A,F,My goal is to become a Doctor,Medicine
B,C,C,C,D,A,D,Helping with Memorization in Medicine,Medicine
B,B,B,C,B,A,A,I want to apply my Circuit Design skills in the field of Electrical Engineering,Electrical Engineering
C,C,D,C,C,A,B,I enjoy electrical systems and Electronics,Electrical Engineering
A,A,C,C,B,A,D,I'm passionate about physics,Electrical Engineering
B,C,B,B,D,A,E,"physics, automation",Electrical Engineering
C,B,A,C,A,A,A,I enjoy robotics and Circuit Design,Electrical Engineering
C,A,A,B,A,A,B,My goal is to become a Embedded Systems Engineer,Electrical Engineering
C,C,E,C,C,A,F,"Learning more about Design and development of electrical systems, electronics, a...",Electrical Engineering
D,A,C,D,C,A,B,I enjoy electronics engineer and Programming,Electrical Engineering
D,C,F,D,F,B,E,I want to improve my skills in Programming,Electrical Engineering
B,B,C,D,C,A,D,I'm passionate about math,Electrical Engineering
B,A,A,A,B,A,B,Electrical Engineering seems like a good fit for me,Electrical Engineering
C,C,F,E,E,C,A,I want to study Electrical Engineering,Electrical Engineering
D,A,D,A,B,A,B,I want to apply my CAD Tools skills in the field of Electrical Engineering,Electrical Engineering
C,B,C,B,C,A,E,"Good at Mathematics, want to be a Embedded Systems Engineer",Electrical Engineering
C,A,B,A,A,A,D,I enjoy electrical and Mathematics,Electrical Engineering
A,A,B,C,C,A,D,I'm passionate about robotics,Electrical Engineering
B,B,A,A,D,A,B,Helping with Electronics in Electrical Engineering,Electrical Engineering
D,A,A,B,A,A,B,"Learning more about Design and development of electrical systems, electronics, a...",Electrical Engineering
B,B,B,B,D,A,D,I'm passionate about electronics engineer,Electrical Engineering
B,B,A,B,B,A,B,I love electrical,Electrical Engineering
B,C,A,A,C,A,A,I want to study Electrical Engineering,Electrical Engineering
A,B,B,B,C,A,B,Control Systems Engineer career path,Electrical Engineering
E,C,C,B,B,A,E,I want to work with math,Electrical Engineering
A,A,A,B,A,A,A,"power, signal",Electrical Engineering
B,A,B,A,A,A,A,"Good at Electronics, want to be a Power Systems Engineer",Electrical Engineering
C,C,F,B,B,B,C,I want to apply my Mathematics skills in the field of Electrical Engineering,Electrical Engineering
B,A,A,A,A,A,A,"Good at Mathematics, want to be a Telecommunications Engineer",Electrical Engineering
D,A,C,B,A,A,E,I love physics,Electrical Engineering
B,A,A,A,A,A,A,Researching Electrical Engineering opportunities,Electrical Engineering
A,A,B,C,B,B,C,How can I study Electrical Engineering?,Electrical Engineering
C,B,B,B,D,B,B,Study Electrical Engineering,Electrical Engineering
B,C,D,D,C,A,D,I'm passionate about physics,Electrical Engineering
A,A,B,C,C,A,D,I want to work with math,Electrical Engineering
C,A,C,C,B,A,B,Electrical Engineering,Electrical Engineering
B,A,B,A,A,A,A,physics electronics engineer signal,Electrical Engineering
B,A,A,C,B,A,B,Power Systems Engineer career path,Electrical Engineering
D,A,B,B,B,A,C,Electrical Engineering seems like a good fit for me,Electrical Engineering
B,C,F,A,B,A,F,"Learning more about Design and development of electrical systems, electronics, a...",Electrical Engineering
A,A,A,C,A,A,A,I love electrical,Electrical Engineering
C,B,A,A,B,A,A,I want to work with mechatronics,Electrical Engineering
C,C,C,C,D,A,B,"Good at CAD Tools, want to be a Telecommunications Engineer",Electrical Engineering
B,C,F,C,C,A,E,I want to work with embedded systems,Electrical Engineering
C,C,F,B,A,A,B,Control Systems Engineer career path,Electrical Engineering
B,A,B,D,C,B,F,I am interested in Electrical Engineering,Electrical Engineering
D,C,E,B,C,A,B,electronics signal power systems,Electrical Engineering
B,A,A,C,B,A,A,My goal is to become a Electronics Engineer,Electrical Engineering
B,B,C,B,C,A,D,I want to study Electrical Engineering,Electrical Engineering
B,A,A,B,A,A,B,"Learning more about Design and development of electrical systems, electronics, a...",Electrical Engineering
B,A,B,B,A,A,B,I want to work with embedded systems,Electrical Engineering
B,B,B,C,C,A,F,Is Electrical Engineering a good major?,Electrical Engineering
B,C,A,C,B,A,D,"Good at Circuit Design, want to be a Telecommunications Engineer",Electrical Engineering
